Nombre_CL,sciName,speciesCode,comName_en
Tagua común,Fulica armillata,regcoo1,Red-gartered Coot
Perrito,Himantopus mexicanus,bknsti,Black-necked Stilt
Chorlo de collar,Anarhynchus collaris,colplo1,Collared Plover
Gaviota cáhuil,Chroicocephalus maculipennis,brhgul2,Brown-hooded Gull
Gaviotín piquerito,Sterna trudeaui,truter,Snowy-crowned Tern
Huala,Podiceps major,gregre1,Great Grebe
Garza chica,Egretta thula,snoegr,Snowy Egret
Bailarín,Elanus leucurus,whtkit,White-tailed Kite
Churrete acanelado,Cinclodes fuscus,buwcin1,Buff-winged Cinclodes
Rara,Phytotoma rara,rutpla1,Rufous-tailed Plantcutter
Siete colores,Tachuris rubrigastra,mcrtyr1,Many-colored Rush Tyrant
Cisne de cuello negro,Cygnus melancoryphus,blnswa2,Black-necked Swan
Tagüita común,Porphyriops melanops,spfgal1,Spot-flanked Gallinule
Tagua de frente roja,Fulica rufifrons,refcoo1,Red-fronted Coot
Pimpollo común,Rollandia rolland,whtgre3,White-tufted Grebe
Garza cuca,Ardea cocoi,cocher1,Cocoi Heron
Jote de cabeza negra,Coragyps atratus,blkvul,Black Vulture
Colegial austral,Lessonia rufa,ausneg1,Austral Negrito
Trile,Agelasticus thilius,yewbla2,Yellow-winged Blackbird
Chorlo chileno,Zonibyx modestus,rucdot1,Rufous-chested Dotterel
Chorlo de doble collar,Anarhynchus falklandicus,twbplo1,Two-banded Plover
Chorlo nevado,Anarhynchus nivosus,snoplo5,Snowy Plover
Playero blanco,Calidris alba,sander,Sanderling
Hued-hued del sur,Pteroptochos tarnii,bthhue1,Black-throated Huet-huet
Comesebo grande,Pygarrhichas albogularis,whttre2,White-throated Treerunner
Pato cortacorrientes,Merganetta armata,torduc1,Torrent Duck
Cóndor,Vultur gryphus,andcon1,Andean Condor
Tricahue,Cyanoliseus patagonus,burpar,Burrowing Parakeet
Dormilona tontita,Muscisaxicola maclovianus,dafgrt1,Dark-faced Ground-Tyrant
Piuquén,Oressochen melanopterus,andgoo1,Andean Goose
Pato cuchara,Spatula platalea,redsho1,Red Shoveler
Pato jergón chico,Anas flavirostris,yebtea1,Yellow-billed Teal
Pato rinconero,Heteronetta atricapilla,blhduc1,Black-headed Duck
Cuervo de pantano común,Plegadis chihi,whfibi,White-faced Ibis
Garza bueyera,Ardea ibis,categr1,Western Cattle-Egret
Pequén,Athene cunicularia,burowl,Burrowing Owl
Trabajador,Phleocryptes melanops,wrlrus1,Wren-like Rushbird
Canastero chileno,Pseudasthenes humicola,dutcan1,Dusky-tailed Canastero
